time,ultrasonic-readout,signal-strength,gps-location-n,gps-location-w,water-temperature,battery-percentage
0,14.23,Null,34.188157,-119.223811,64.3,8.855964486
1,14.25930099,1.36E-05,34.18814953,-119.2237978,64.29778366,8.967316836
2,14.26517527,1.80E-05,34.18815246,-119.2238026,64.29754341,9.028160069
3,14.2731753,1.86E-05,34.18814963,-119.2237993,64.29334378,9.054184243
4,14.27553619,1.23E-05,34.1881578,-119.2237975,64.3000058,8.999412323
5,14.25426422,2.65E-05,34.18816078,-119.223816,64.29727613,8.930492597
6,14.27123224,1.17E-05,34.18813948,-119.2238031,64.29374108,9.108655114
7,14.28501487,9.78E-06,34.18814078,-119.2238072,64.30043883,8.988471865
8,14.29203986,4.70E-07,34.18814496,-119.2238011,64.30726062,9.157456621
9,14.31266653,2.27E-05,34.18814796,-119.2238008,64.30613989,9.066110659
10,14.28845604,2.06E-05,34.18814379,-119.2238094,64.30930543,8.891816172
11,14.33266467,3.60E-05,34.18814468,-119.2238246,64.31020735,8.958664434
12,14.29080719,6.99E-05,34.18814563,-119.2238508,64.3093951,9.039088121
13,14.30441746,7.67E-05,34.18815196,-119.2238479,64.30897,9.14724354
14,14.30120269,5.10E-05,34.18813491,-119.2238462,64.29994378,8.962323197
15,14.30162987,5.42E-05,34.1881289,-119.2238483,64.30253852,9.010976346
16,14.26582857,2.92E-05,34.18812532,-119.2238346,64.3043644,9.000680671
17,14.26930985,4.49E-05,34.18811591,-119.2238412,64.304669,9.024342385
18,14.23665835,4.63E-05,34.18810645,-119.2238304,64.30438676,8.931282867
19,14.24375279,7.64E-05,34.18808005,-119.2238399,64.30999875,9.072358108
20,14.24768542,9.27E-05,34.18806829,-119.2238486,64.31168216,8.980983757
21,14.26432801,7.81E-05,34.18809093,-119.2238518,64.3176039,9.040398785
22,14.27356977,6.68E-05,34.18808057,-119.2238516,64.31647799,9.066272911
23,14.2680929,6.42E-05,34.18806881,-119.2238417,64.31337654,8.968556963
24,14.27193822,5.11E-05,34.18807815,-119.2238206,64.32054613,9.024057506
25,14.30084869,6.41E-05,34.18808174,-119.2238318,64.3203533,9.016899325
